,Date,username,screen_name,user_location,user_friends_count,verified?,user_bio,followers_count,Tweet,likes,retweets,source,tweet_id,tweet_coordinates,hashtags
0,2020-12-22 14:35:21,Podcast with NEIL,NeeL__7,Kolkata,171,False,"- Football Enthusiast
- Tactical Analysis 
- PODCASTs
 
Your one stop destination for all the trending Football topics in world football!",74,"STOP THIS BIELSA WANKFEST. PLEASE 🙏
https://t.co/IF0I7nHLac

Also, help me reach 200 subs by 25th Dec! 😍

#MUNLEE… https://t.co/thwDIXWYOt",0,0,Twitter Web App,1341391881419313153,,"[{'text': 'MUNLEE', 'indices': [106, 113]}]"
1,2020-12-22 14:34:04,A Fabulous Opera,afabulousopera6,The Beach,156,False,Arsenal & PL observer. Fan not of any one club but of beautiful football / soccer. California. Florida. Limes. Oranges. Radlers. Music. Love. Opera. ⚽🧡,183,"@jwelsh84 @TacticalGooner press conferences? He’s as clueless as late era Wenger, maybe worse. He is an absolute EM… https://t.co/qEKhntVsUe",0,0,Twitter for iPhone,1341391559061860359,,[]
2,2020-12-22 14:22:46,Akash Ghosh,AkashGooner96,,1983,False,"They make me happy, they make me cry.
But I am Arsenal till I die!
Local- Mohun Bagan",1285,@GurjitAFC @CorSport #ArtetaOut if true,0,0,Twitter for Android,1341388717416730627,,"[{'text': 'ArtetaOut', 'indices': [21, 31]}]"
3,2020-12-22 14:20:16,PATRIOT,scarfizal,Abuja,10688,False,PATRIOT works at Federal Ministry of Environment ( https://t.co/9zfEAUVyTS ) Arsenal & Barcelona fan tweets are my personal opinion (married),49898,"Instead of sacking Fraudeta @Arsenal is planning for life in the championship, what a club #ArtetaOut #ArtetaOutNow #KronkeOut",1,0,Twitter for iPhone,1341388088900247555,,"[{'text': 'ArtetaOut', 'indices': [91, 101]}, {'text': 'ArtetaOutNow', 'indices': [102, 115]}, {'text': 'KronkeOut', 'indices': [116, 126]}]"
4,2020-12-22 14:17:25,inside World Soccer,insWorldSoccer,,2048,False,"Football is religion.

Follow us on Instagram: https://t.co/Yn6T84H5LU…",4524,"Mikel Arteta confuses fans with bizarre percentage statistics

@PatMabbutt @Stacey1882 @yid_erny @Tidy_Yid… https://t.co/RZCZhREMdg",0,0,Twitter Web App,1341387371498123265,,[]
5,2020-12-22 14:03:40,BazKOB,AFCoutofnothing,"London, England",112,False,"I just speak my mind, if you don’t like it tough luck. this szn its all about showing people that we still got bums at our club.",109,"Arteta has bought this weak mentality to arsenal ffs whats going on , how has he not been sacked yet we are 15th😂😂😂… https://t.co/2o9ZGRB63d",1,0,Twitter for iPhone,1341383910836547584,,[]
6,2020-12-22 14:01:58,BazKOB,AFCoutofnothing,"London, England",112,False,"I just speak my mind, if you don’t like it tough luck. this szn its all about showing people that we still got bums at our club.",109,@_Prizma97 @JakeHeasmannnn @ZRAFC @lequipe I wouldn’t give him 5 million let alone 200 million with the shit he is… https://t.co/IFHtkfVn3Q,0,0,Twitter for iPhone,1341383481910280197,,[]
7,2020-12-22 13:53:22,Simply Saka,simple_saka,,386,False,Bukayo Saka _ Balon D'Or winner 2026. Follow for follow. ARSENAL FC🔴,152,This has to be the team we start vs Man City. #arsenal #ArtetaOut #balogun #martinelli https://t.co/YdFPu6BXY9,0,0,Twitter for iPhone,1341381317154451458,,"[{'text': 'arsenal', 'indices': [46, 54]}, {'text': 'ArtetaOut', 'indices': [55, 65]}, {'text': 'balogun', 'indices': [66, 74]}, {'text': 'martinelli', 'indices': [75, 86]}]"
8,2020-12-22 13:52:21,ReRe 🔴⚪️ ارسنال,ReRe_Gunner,,92,False,Arsenal - Kieran Tierney - Football #COYG,28,@GurjitAFC @David_Ornstein Lets celebrate going down: to the championship here we goooooo #ArtetaOut https://t.co/erUlSHX2Nt,0,0,Twitter Web App,1341381062002401283,,"[{'text': 'ArtetaOut', 'indices': [90, 100]}]"
9,2020-12-22 13:46:05,Mogere Obadiah,MogereObadiah1,,73,False,"Am awesome, awful at times",5,Am proud to be an arsenal fan but I know we are losing tonight 🤣🤣🤣🤣#Artetaout https://t.co/vKAeyywDQ7,1,0,Twitter for Android,1341379486110105600,,"[{'text': 'Artetaout', 'indices': [67, 77]}]"
10,2020-12-22 13:44:25,GΔUŦHΞM,gauthemen,"Penang, Malaysia",428,False,"I'm Gauthem, from Penang Malaysia. Internet, Music & Arsenal is my soul! Deal with it!",57,Predicting a heavy bashing from Man City on later Home game. With numbers of red card in hand and a imbalance squad… https://t.co/fSA2VWJRxn,0,0,Twitter for Android,1341379064284659713,,[]
11,2020-12-22 13:37:39,BLAMA DOE,J56759806vi,,24,False,,0,@AFTVMedia Arteta is nothing but a PE Teacher..#Freesaliba..#ArtetaOut,0,0,Twitter for iPhone,1341377362760511488,,"[{'text': 'Freesaliba', 'indices': [47, 58]}, {'text': 'ArtetaOut', 'indices': [60, 70]}]"
